model,checkpoint,step,module,layer,step_num,indicator,value,module_text,module_family,module_role
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,11,2,subspace_stability_topk,0.9997392296791076,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,12,2,subspace_stability_topk,0.99951171875,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,12,2,subspace_stability_topk,0.9996817111968994,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,12,2,subspace_stability_topk,1.0007363557815552,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,12,2,subspace_stability_topk,0.9997047185897828,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,13,2,subspace_stability_topk,0.999396800994873,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,13,2,subspace_stability_topk,0.9997060298919678,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,13,2,subspace_stability_topk,1.0008068084716797,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,13,2,subspace_stability_topk,0.9996427297592164,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,14,2,subspace_stability_topk,0.999482274055481,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,14,2,subspace_stability_topk,0.9996944069862366,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,14,2,subspace_stability_topk,1.000565767288208,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,14,2,subspace_stability_topk,0.999688982963562,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step2,2,attention.dense,15,2,subspace_stability_topk,0.9994561672210692,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step2,2,attention.query_key_value,15,2,subspace_stability_topk,0.9997502565383912,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_4h_to_h,15,2,subspace_stability_topk,1.000742793083191,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step2,2,mlp.dense_h_to_4h,15,2,subspace_stability_topk,0.9997713565826416,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step4,4,attention.dense,0,4,subspace_stability_topk,0.999470591545105,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step4,4,attention.query_key_value,0,4,subspace_stability_topk,0.9997024536132812,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_4h_to_h,0,4,subspace_stability_topk,1.0007448196411133,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_h_to_4h,0,4,subspace_stability_topk,0.9996765851974488,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step4,4,attention.dense,1,4,subspace_stability_topk,0.9994813203811646,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step4,4,attention.query_key_value,1,4,subspace_stability_topk,0.9996638298034668,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_4h_to_h,1,4,subspace_stability_topk,1.0007907152175903,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_h_to_4h,1,4,subspace_stability_topk,0.9997259974479676,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step4,4,attention.dense,2,4,subspace_stability_topk,0.9994995594024658,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step4,4,attention.query_key_value,2,4,subspace_stability_topk,0.9996581077575684,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_4h_to_h,2,4,subspace_stability_topk,1.000734806060791,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_h_to_4h,2,4,subspace_stability_topk,0.9997254610061646,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step4,4,attention.dense,3,4,subspace_stability_topk,0.9994409084320068,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step4,4,attention.query_key_value,3,4,subspace_stability_topk,0.9997074007987976,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_4h_to_h,3,4,subspace_stability_topk,1.0007915496826172,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_h_to_4h,3,4,subspace_stability_topk,0.9997283816337584,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step4,4,attention.dense,4,4,subspace_stability_topk,0.9994379878044128,attention.dense,attention,attention_out
EleutherAI/pythia-1b-deduped,step4,4,attention.query_key_value,4,4,subspace_stability_topk,0.9996918439865112,attention.query_key_value,attention,attention_qkv
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_4h_to_h,4,4,subspace_stability_topk,1.0008344650268557,mlp.dense_4h_to_h,mlp,mlp_out
EleutherAI/pythia-1b-deduped,step4,4,mlp.dense_h_to_4h,4,4,subspace_stability_topk,0.9996870756149292,mlp.dense_h_to_4h,mlp,mlp_in
EleutherAI/pythia-1b-deduped,step4,4,attention.dense,5,4,subspace_stability_topk,0.9996194243431092,attention.dense,attention,attention_out
