step_num,indicator,module_family,mean_value,n
128,median_eigenvalue,attention,0.5382660576995267,32
128,median_eigenvalue,mlp,0.7618691509282923,32
128,mp_edge,attention,27.1621479967151,32
128,mp_edge,mlp,1.8713840211290207,32
128,mp_outliers_x1,attention,0.21875,32
128,mp_outliers_x1,mlp,0.4375,32
128,mp_outliers_x1.1,attention,0.0,32
128,mp_outliers_x1.1,mlp,0.03125,32
128,mp_outliers_x1.25,attention,0.0,32
128,mp_outliers_x1.25,mlp,0.0,32
128,nuclear_norm,attention,1181.9811417117119,32
128,nuclear_norm,mlp,1501.7435718460474,32
128,num_singular_values,attention,2048.0,32
128,num_singular_values,mlp,2048.0,32
128,rows,attention,4096.0,32
128,rows,mlp,5120.0,32
128,spectral_norm,attention,0.9905585227534175,32
128,spectral_norm,mlp,1.1371429599821568,32
128,stable_rank,attention,665.8570141456621,32
128,stable_rank,mlp,902.1067837264243,32
128,subspace_stability_topk,attention,0.9655254669487476,32
128,subspace_stability_topk,mlp,0.9655122607946396,32
256,alpha_tail_frac_0.2,attention,5.597658520613594,32
256,alpha_tail_frac_0.2,mlp,7.9478375587403995,32
256,alpha_tail_frac_0.3,attention,4.036352052278009,32
256,alpha_tail_frac_0.3,mlp,5.759440505571903,32
256,alpha_tail_frac_0.5,attention,2.478362669540676,32
256,alpha_tail_frac_0.5,mlp,3.6689519459068216,32
256,cols,attention,2048.0,32
256,cols,mlp,5120.0,32
256,effective_rank,attention,1800.0774191248051,32
256,effective_rank,mlp,1978.6626306123817,32
256,frobenius_norm,attention,27.658395785803407,32
256,frobenius_norm,mlp,34.30560173402374,32
256,mean_singular_value,attention,0.5775916091813907,32
256,mean_singular_value,mlp,0.7335428698797841,32
256,median_eigenvalue,attention,0.5385478547871526,32
256,median_eigenvalue,mlp,0.761938658787356,32
256,mp_edge,attention,27.248830567131066,32
256,mp_edge,mlp,1.871554753723504,32
256,mp_outliers_x1,attention,1.09375,32
256,mp_outliers_x1,mlp,1.375,32
256,mp_outliers_x1.1,attention,0.625,32
256,mp_outliers_x1.1,mlp,0.15625,32
256,mp_outliers_x1.25,attention,0.46875,32
256,mp_outliers_x1.25,mlp,0.0,32
256,nuclear_norm,attention,1182.9076156034882,32
256,nuclear_norm,mlp,1502.2957975137979,32
256,num_singular_values,attention,2048.0,32
256,num_singular_values,mlp,2048.0,32
256,rows,attention,4096.0,32
256,rows,mlp,5120.0,32
256,spectral_norm,attention,1.2270350698381662,32
256,spectral_norm,mlp,1.1423208257183433,32
256,stable_rank,attention,489.517980192162,32
256,stable_rank,mlp,881.3614534182809,32
256,subspace_stability_topk,attention,0.7821666328236461,32
256,subspace_stability_topk,mlp,0.9155678376555443,32
512,alpha_tail_frac_0.2,attention,4.942246313276935,32
512,alpha_tail_frac_0.2,mlp,7.310075956028031,32
512,alpha_tail_frac_0.3,attention,3.8309996502633967,32
512,alpha_tail_frac_0.3,mlp,5.520869112412297,32
512,alpha_tail_frac_0.5,attention,2.450551123149569,32
512,alpha_tail_frac_0.5,mlp,3.6125096300761874,32
512,cols,attention,2048.0,32
512,cols,mlp,5120.0,32
512,effective_rank,attention,1794.4842841680775,32
512,effective_rank,mlp,1976.9844732736444,32
512,frobenius_norm,attention,27.804375239992925,32
512,frobenius_norm,mlp,34.4347967470589,32
512,mean_singular_value,attention,0.5796916570573942,32
