outcome,model_kind,break_step,include_uptake,n,p,rss,aic,bic,rmse,loocv_rmse,delta_aic,delta_bic
normalized_degradation_auc_margin,fixed_break_segmented,3000,True,30,4,0.02239664528035292,-208.00124431807137,-202.39645479142274,0.02732315579647473,0.032689684095645856,15.366326897230323,15.366326897230323
normalized_degradation_auc_margin,free_break_candidate_segmented,3000,True,30,4,0.02239664528035292,-208.00124431807137,-202.39645479142274,0.02732315579647473,0.032689684095645856,15.366326897230323,15.366326897230323
normalized_degradation_auc_margin,free_break_candidate_segmented,512,True,30,4,0.023828994904999463,-206.14148644421,-200.53669691756136,0.02818332539227138,0.03343448762541456,17.226084771091706,17.226084771091706
normalized_degradation_auc_margin,window_indicator,,True,30,4,0.05004315022544519,-183.8820106864457,-178.27722115979708,0.040842441253123446,0.05050409947973688,39.485560528855984,39.485560528855984
normalized_degradation_auc_accuracy,monotone_log_step,,False,30,2,0.0780547257232151,-174.5462740439939,-171.74387928066957,0.051008079661695134,0.053758804955285996,0.0,0.0
normalized_degradation_auc_accuracy,fixed_break_segmented,1000,False,30,3,0.07633813475207035,-173.2134014116255,-169.00980926663905,0.05044407290986403,0.05528936867939864,1.3328726323683782,2.7340700140305216
normalized_degradation_auc_accuracy,free_break_candidate_segmented,1000,False,30,3,0.07633813475207035,-173.2134014116255,-169.00980926663905,0.05044407290986403,0.05528936867939864,1.3328726323683782,2.7340700140305216
normalized_degradation_auc_accuracy,fixed_break_segmented,3000,False,30,3,0.0764515856824709,-173.1688496115718,-168.96525746658534,0.05048154305699953,0.05498079727954591,1.3774244324220888,2.7786218140842323
normalized_degradation_auc_accuracy,free_break_candidate_segmented,3000,False,30,3,0.0764515856824709,-173.1688496115718,-168.96525746658534,0.05048154305699953,0.05498079727954591,1.3774244324220888,2.7786218140842323
normalized_degradation_auc_accuracy,fixed_break_segmented,2000,False,30,3,0.07674886028239794,-173.05242372083964,-168.84883157585318,0.05057959413386586,0.05546306674238894,1.4938503231542484,2.895047704816392
normalized_degradation_auc_accuracy,free_break_candidate_segmented,2000,False,30,3,0.07674886028239794,-173.05242372083964,-168.84883157585318,0.05057959413386586,0.05546306674238894,1.4938503231542484,2.895047704816392
normalized_degradation_auc_accuracy,free_break_candidate_segmented,8000,False,30,3,0.07801554465385632,-172.56133690129036,-168.3577447563039,0.05099527581186854,0.05502351481365646,1.9849371427035294,3.386134524365673
normalized_degradation_auc_accuracy,quadratic_log_step,,False,30,3,0.07802515572497554,-172.55764129965257,-168.35404915466611,0.05099841687901548,0.055228718792901844,1.9886327443413165,3.38983012600346
normalized_degradation_auc_accuracy,free_break_candidate_segmented,512,False,30,3,0.07805472572321505,-172.54627404399392,-168.34268189900746,0.05100807966169512,0.05375880495528601,1.9999999999999716,3.401197381662115
normalized_degradation_auc_accuracy,window_indicator,,False,30,3,0.12206982314742298,-159.13078376230962,-154.92719161732316,0.06378866752734454,0.06824726734083088,15.41549028168427,16.816687663346414
normalized_degradation_auc_accuracy,fixed_break_segmented,1000,True,30,4,0.07225115663683934,-172.86412974896515,-167.25934022231652,0.04907516569401111,0.054806148860471346,0.0,1.3690736449884184
normalized_degradation_auc_accuracy,free_break_candidate_segmented,1000,True,30,4,0.07225115663683934,-172.86412974896515,-167.25934022231652,0.04907516569401111,0.054806148860471346,0.0,1.3690736449884184
normalized_degradation_auc_accuracy,monotone_log_step,,True,30,3,0.07731483049791248,-172.8320060122914,-168.62841386730494,0.05076574648911491,0.05440025785551242,0.032123736673753456,0.0
normalized_degradation_auc_accuracy,fixed_break_segmented,3000,True,30,4,0.07644976622137882,-171.16956358606691,-165.56477405941828,0.05048094235166997,0.05628965018266769,1.6945661628982407,3.063639807886659
normalized_degradation_auc_accuracy,free_break_candidate_segmented,3000,True,30,4,0.07644976622137882,-171.16956358606691,-165.56477405941828,0.05048094235166997,0.05628965018266769,1.6945661628982407,3.063639807886659
normalized_degradation_auc_accuracy,free_break_candidate_segmented,8000,True,30,4,0.07651587956734841,-171.14363095926876,-165.53884143262013,0.05050276545805798,0.05497660303367843,1.7204987896963928,3.0895724346848112
normalized_degradation_auc_accuracy,fixed_break_segmented,2000,True,30,4,0.07671820496669311,-171.0644088263329,-165.45961929968428,0.05056949178002257,0.05635946631531041,1.7997209226322468,3.1687945676206652
normalized_degradation_auc_accuracy,free_break_candidate_segmented,2000,True,30,4,0.07671820496669311,-171.0644088263329,-165.45961929968428,0.05056949178002257,0.05635946631531041,1.7997209226322468,3.1687945676206652
normalized_degradation_auc_accuracy,quadratic_log_step,,True,30,4,0.0770461317971362,-170.93644911818134,-165.3316595915327,0.050677454486565056,0.05521840664765835,1.9276806307838115,3.29675427577223
normalized_degradation_auc_accuracy,free_break_candidate_segmented,512,True,30,4,0.07731483049791248,-170.8320060122914,-165.22721648564277,0.05076574648911491,0.0544002578555125,2.0321237366737535,3.401197381662172
normalized_degradation_auc_accuracy,window_indicator,,True,30,4,0.10146332779638026,-162.67765689839922,-157.0728673717506,0.05815591910154983,0.06441324421423261,10.186472850565934,11.555546495554353
