arm,seed,inject_checkpoint,endpoint_checkpoint,matrix,delta_p,delta_cos,drift_norm,delta_norm,relative_drift_norm,t_cont,phase
in_window_carried,0,step1000,step2000,gpt_neox.layers.10.mlp.dense_h_to_4h.weight,1.0,1.0,0.012758060960838,0.012758060960838,0.0003545733697638,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.10.mlp.dense_4h_to_h.weight,1.0,1.0,0.0274478970433101,0.0274478970433101,0.0023679087346899,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.11.attention.query_key_value.weight,1.0,1.0,0.0095248124835139,0.0095248124835139,0.0003063603189596,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.11.attention.dense.weight,1.0,1.0,0.011771000541526,0.011771000541526,0.0020335594397259,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.11.mlp.dense_h_to_4h.weight,1.0,1.0,0.012667013456603,0.012667013456603,0.000353612162593,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.11.mlp.dense_4h_to_h.weight,1.0,1.0,0.0271141479345012,0.0271141479345012,0.0023364466334794,0,snapshot_0
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.attention.query_key_value.weight,0.9974620893223692,0.9984794006950234,0.0101296296072874,0.0101399608143685,0.0003351548038419,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.attention.dense.weight,0.9988399616749316,0.9988376760782904,0.0115562820761338,0.0115562556324586,0.002292966711591,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,0.9993871616619328,0.9993282394226934,0.0160755959450393,0.0160746481540865,0.0004667025513871,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,0.9995926715129576,0.9992945926495602,0.0307454452157882,0.0307362769139131,0.0030719283716419,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.attention.query_key_value.weight,0.998399963185966,0.9986554956938676,0.0102898639219614,0.0102924975305661,0.0003356661270507,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.attention.dense.weight,0.9989137259518248,0.998825092807782,0.0126487981353206,0.0126476758134243,0.0026792020169401,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.mlp.dense_h_to_4h.weight,0.999311102861164,0.9990973139347769,0.0150147225796799,0.0150115103853881,0.000426768422234,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.1.mlp.dense_4h_to_h.weight,0.9995164385331272,0.9992393818159716,0.0294210692386909,0.0294129139902685,0.0028233772356591,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.attention.query_key_value.weight,0.9985308490130552,0.99871835847096,0.0110488746989618,0.0110509495156861,0.0003554708275304,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.attention.dense.weight,0.999741983577586,0.9990692799864226,0.0134306238056714,0.0134215866450699,0.0024613263043888,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.mlp.dense_h_to_4h.weight,0.999151705313279,0.9990313165936866,0.0147670833503563,0.0147653040507292,0.0004202187617557,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.2.mlp.dense_4h_to_h.weight,0.9994286834802796,0.9991964188757768,0.0298833625328331,0.0298764177177656,0.0028903765426168,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.3.attention.query_key_value.weight,0.9996469730611064,0.9987404188454492,0.0114450257238143,0.0114346465233587,0.0003690840589663,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.3.attention.dense.weight,0.9999138954589089,0.9990599288486736,0.0133261855916963,0.013314804494195,0.0022318083554182,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.3.mlp.dense_h_to_4h.weight,0.9990959832486468,0.9989698966689446,0.014590117967887,0.0145882766852647,0.000415600942249,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.3.mlp.dense_4h_to_h.weight,0.9995590459956294,0.9991819339374972,0.0302437638781875,0.0302323535587197,0.0029093426311597,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.4.attention.query_key_value.weight,0.9996988218516688,0.9986657729269665,0.0106132621537471,0.0106022948315738,0.000320734785753,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.4.attention.dense.weight,0.999549732426679,0.998922762663728,0.0120187508634552,0.0120112120756036,0.0017446848102761,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.4.mlp.dense_h_to_4h.weight,0.9995678581174195,0.9990677284408918,0.0145667315713955,0.0145594431670218,0.0004114687793113,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.4.mlp.dense_4h_to_h.weight,0.9994345699333412,0.999261535111097,0.0298216822494258,0.0298165191405618,0.0027158988849697,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.5.attention.query_key_value.weight,0.999117944748728,0.998632143764636,0.0100078042946565,0.0100029382013183,0.0003106905419081,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.5.attention.dense.weight,0.9989679756469524,0.9987763136881804,0.0115985668052342,0.011596341504637,0.0019169291105175,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.5.mlp.dense_h_to_4h.weight,0.9995390671482124,0.9990486624911764,0.0141981146388415,0.0141911486064283,0.0003996342647108,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.5.mlp.dense_4h_to_h.weight,0.9993644343128816,0.9992188724701068,0.029114839146317,0.0291105984414323,0.0026222809220254,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.6.attention.query_key_value.weight,0.9985381673570388,0.9985278825434164,0.0097111565037686,0.0097110564801161,0.0003113590119524,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.6.attention.dense.weight,0.9994900152405328,0.9987872989905566,0.0120706160014923,0.0120621294554717,0.0022053850191847,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.6.mlp.dense_h_to_4h.weight,0.9991684092708744,0.9989782091644468,0.0136944151810232,0.0136918083339685,0.0003835349264661,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.6.mlp.dense_4h_to_h.weight,0.9996470990750936,0.9991974428820428,0.028684553119279,0.028671650378935,0.0025505704810206,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.7.attention.query_key_value.weight,0.9995155322899631,0.998638126379366,0.009883636580546,0.0098749604160705,0.0003207563882075,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.7.attention.dense.weight,0.9993080427609998,0.9988705046705412,0.0125593593719623,0.0125538603687703,0.0023173554235999,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.7.mlp.dense_h_to_4h.weight,0.9993076991507602,0.9989302995668384,0.0133457035273422,0.0133406633750821,0.0003725271247615,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.7.mlp.dense_4h_to_h.weight,0.9998413907215636,0.9991599181901952,0.028108723056383,0.0280895646950344,0.0024881716467358,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.8.attention.query_key_value.weight,0.9990879935043788,0.9986130233889996,0.0092717058687641,0.0092672980656127,0.0003008627227737,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.8.attention.dense.weight,0.9988380372480484,0.9987993869934154,0.0118358315203032,0.0118353735302337,0.0021194257194105,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.8.mlp.dense_h_to_4h.weight,0.9992168201012612,0.998904228474576,0.0131005512934485,0.0130964529610776,0.0003646203699585,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.8.mlp.dense_4h_to_h.weight,0.9996889716284753,0.9991300656239722,0.0277831543518067,0.0277676213488108,0.0024424034383915,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.9.attention.query_key_value.weight,0.9992978098505768,0.9982145683968852,0.0093507143745117,0.0093405781755405,0.0003031574491852,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.9.attention.dense.weight,0.9995987545850542,0.9987057057758274,0.0113360236127337,0.0113258959266574,0.0020347413592209,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.9.mlp.dense_h_to_4h.weight,0.999284751790906,0.9988492984090184,0.0129856105080635,0.0129799518326945,0.0003604135529969,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.9.mlp.dense_4h_to_h.weight,0.9994898476041714,0.9991326307455708,0.0277473768463618,0.0277374599564452,0.0024126385109614,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.10.attention.query_key_value.weight,0.9990053701737645,0.9980505644651828,0.0096645692124954,0.0096553322392713,0.0003134940408981,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.10.attention.dense.weight,0.9995413166607582,0.9987637226127448,0.0122581870359238,0.0122486507685183,0.0022138286397031,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.10.mlp.dense_h_to_4h.weight,1.000018685171841,0.9987099197811538,0.0127747798381688,0.012758060960838,0.000355038022558,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.10.mlp.dense_4h_to_h.weight,0.9994285754461588,0.9990871418277664,0.0274572772409049,0.0274478970433101,0.0023687179570424,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.11.attention.query_key_value.weight,1.0017747577462492,0.996774822152173,0.0095725900235409,0.0095248124835139,0.0003078970570767,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.11.attention.dense.weight,0.9986306818223588,0.9985422261509912,0.0117720432733487,0.011771000541526,0.0020337395821984,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.11.mlp.dense_h_to_4h.weight,1.0000153270437433,0.9983422411570144,0.0126882416492684,0.012667013456603,0.0003542047685093,8,endpoint_8
in_window_carried,0,step1000,step2000,gpt_neox.layers.11.mlp.dense_4h_to_h.weight,0.9993444307691576,0.9988917981524288,0.0271264342980019,0.0271141479345012,0.0023375053587142,8,endpoint_8
