step,step_num,layer,module,metric,value,module_family,module_role
4,4,3,attention.dense,subspace_stability_topk,0.999904990196228,Attention,Attention output
4,4,3,attention.query_key_value,subspace_stability_topk,0.9998133182525636,Attention,QKV
4,4,3,mlp.dense_4h_to_h,subspace_stability_topk,1.0003206729888916,MLP,MLP out
4,4,3,mlp.dense_h_to_4h,subspace_stability_topk,0.9997882843017578,MLP,MLP in
4,4,4,attention.dense,subspace_stability_topk,0.9998860359191896,Attention,Attention output
4,4,4,attention.query_key_value,subspace_stability_topk,0.999757707118988,Attention,QKV
4,4,4,mlp.dense_4h_to_h,subspace_stability_topk,1.000335454940796,MLP,MLP out
4,4,4,mlp.dense_h_to_4h,subspace_stability_topk,0.9997933506965636,MLP,MLP in
4,4,5,attention.dense,subspace_stability_topk,0.9998944997787476,Attention,Attention output
4,4,5,attention.query_key_value,subspace_stability_topk,0.9997642040252686,Attention,QKV
4,4,5,mlp.dense_4h_to_h,subspace_stability_topk,1.0003211498260498,MLP,MLP out
4,4,5,mlp.dense_h_to_4h,subspace_stability_topk,0.9998008012771606,MLP,MLP in
4,4,6,attention.dense,subspace_stability_topk,0.9999014139175416,Attention,Attention output
4,4,6,attention.query_key_value,subspace_stability_topk,0.9997997283935548,Attention,QKV
4,4,6,mlp.dense_4h_to_h,subspace_stability_topk,1.0003204345703125,MLP,MLP out
4,4,6,mlp.dense_h_to_4h,subspace_stability_topk,0.9997727870941162,MLP,MLP in
4,4,7,attention.dense,subspace_stability_topk,0.9999066591262816,Attention,Attention output
4,4,7,attention.query_key_value,subspace_stability_topk,0.9998120069503784,Attention,QKV
4,4,7,mlp.dense_4h_to_h,subspace_stability_topk,1.0002820491790771,MLP,MLP out
4,4,7,mlp.dense_h_to_4h,subspace_stability_topk,0.9998029470443726,MLP,MLP in
4,4,8,attention.dense,subspace_stability_topk,0.9998854994773864,Attention,Attention output
4,4,8,attention.query_key_value,subspace_stability_topk,0.9997795820236206,Attention,QKV
4,4,8,mlp.dense_4h_to_h,subspace_stability_topk,1.0003290176391602,MLP,MLP out
4,4,8,mlp.dense_h_to_4h,subspace_stability_topk,0.9997843503952026,MLP,MLP in
4,4,9,attention.dense,subspace_stability_topk,0.9998841881752014,Attention,Attention output
4,4,9,attention.query_key_value,subspace_stability_topk,0.9998064637184144,Attention,QKV
4,4,9,mlp.dense_4h_to_h,subspace_stability_topk,1.000322937965393,MLP,MLP out
4,4,9,mlp.dense_h_to_4h,subspace_stability_topk,0.9997692704200744,MLP,MLP in
4,4,10,attention.dense,subspace_stability_topk,0.9998971223831176,Attention,Attention output
4,4,10,attention.query_key_value,subspace_stability_topk,0.9998054504394532,Attention,QKV
4,4,10,mlp.dense_4h_to_h,subspace_stability_topk,1.0003187656402588,MLP,MLP out
4,4,10,mlp.dense_h_to_4h,subspace_stability_topk,0.9997418522834778,MLP,MLP in
4,4,11,attention.dense,subspace_stability_topk,0.9999085068702698,Attention,Attention output
4,4,11,attention.query_key_value,subspace_stability_topk,0.9997785091400146,Attention,QKV
4,4,11,mlp.dense_4h_to_h,subspace_stability_topk,1.00032377243042,MLP,MLP out
4,4,11,mlp.dense_h_to_4h,subspace_stability_topk,0.9997839331626892,MLP,MLP in
8,8,0,attention.dense,subspace_stability_topk,0.9998959302902222,Attention,Attention output
